band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,1111,1057,1180,1110,1079,1104,1119,1166,878,1354,1115,1117,391
48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,48,56,44,53,59,44,60,48,54,54,52,52,637
2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,2716,2355,3058,2707,2374,2919,2715,2870,2696,2721,2503,2948,472
1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,1499,1221,1874,1530,1520,1509,1517,1576,1522,1544,1539,1534,432
371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,371,369,361,377,369,385,356,387,372,370,379,373,198
972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,972,956,980,907,1038,870,1066,834,1090,1004,968,976,624
833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,833,950,913,944,887,889,749,993,1102,938,840,1013,267
1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,1127,1086,1185,1127,1069,1212,1123,1145,1121,1093,1193,1135,493
3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,3102,3660,3417,2980,2478,4747,3042,3366,3741,2695,4081,3464,344
1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,1195,1549,1400,1532,1387,1414,1458,1403,1439,1420,1420,1420,251
579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,579,663,583,625,549,732,608,661,566,677,655,637,214
750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,750,805,904,939,698,1035,839,854,781,903,899,856,301
1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,1753,2105,1769,2041,1586,2066,2141,1807,1842,2186,1936,2030,560
15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,247
15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,15,18,17,16,17,16,16,17,16,16,17,17,247
1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,1682,1826,1754,1680,1780,1794,1633,1864,1764,1767,1733,1777,462
2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,2000,2156,1985,2007,2004,1642,2932,2119,1910,2073,2340,2113,61
476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,476,520,793,1120,1073,1053,883,1016,636,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,828,831,825,827,835,824,829,835,829,831,829,830,16
899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,899,1377,1270,1085,480,2134,542,1681,1373,1022,1399,1234,584
2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,2813,1932,3305,3206,2813,2782,2825,2563,3062,2830,2545,3092,395
2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,2978,2708,3290,2955,2941,2765,3220,942,5132,2930,3047,3000,547
2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,2072,1931,2237,2062,1838,2127,2308,2105,2104,2084,2091,2089,605
