band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,781,874,795,782,932,836,856,831,848,214
1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,1042,991,1365,698,1579,1149,1105,1142,1192,301
2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,2474,2386,2808,2048,3013,2539,2567,2775,2652,560
21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,247
21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,21,23,22,22,22,22,22,22,22,247
2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,2329,2350,2263,2346,2401,2324,2306,2382,2353,462
2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,2574,2854,2720,3046,2646,3005,2586,3041,2809,61
476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,476,520,793,1120,1073,1053,788,745,1002,192
1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,1030,1182,1099,1112,1082,1129,1107,1106,1106,16
1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,1577,1457,1597,1646,1510,1681,1373,1992,1663,584
3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,3469,3878,3909,3749,3754,3480,4007,3433,4089,395
3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,3644,4256,4031,2941,4267,2660,5746,4367,3996,547
2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,2762,2707,2833,2669,2920,2789,2758,2826,2784,605
2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,2569,2568,2379,2225,2196,3477,2287,2851,2573,149
1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,1487,1484,1437,1556,1511,1504,1502,1405,1590,238
730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,730,1171,803,1078,812,1091,949,939,983,58
2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,2254,2253,2214,2293,1913,2593,2254,2237,2270,33
1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,1670,1672,1491,1650,1748,1715,1754,1644,1699,182
5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,5046,5373,4747,5141,5992,5226,4605,5783,5431,477
56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,56,59,61,60,59,59,59,58,60,603
787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,787,986,1332,877,1522,927,1193,1182,1102,76
1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,1170,1315,1004,1467,1237,1285,1110,1319,1382,224
