band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,1119,1553,1254,1430,1285,1363,1348,1329,1367,1342,391
63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,63,61,59,63,58,65,68,61,63,63,637
3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,3258,3176,3314,3166,3215,2715,3238,3813,3425,3262,472
1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,1646,1756,2048,1899,1804,1775,1881,1897,1838,1841,432
445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,445,449,423,462,453,447,442,454,447,447,198
1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,1062,1209,1226,1079,1147,1219,1214,1134,1187,1184,624
1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,1067,1050,1109,977,1213,1102,994,1288,1053,1198,267
1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,1362,1358,1315,1377,1394,1362,1363,1258,1459,1368,493
3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,3990,3458,3545,4644,4747,3042,5061,3311,4892,4083,344
1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,1643,1605,1863,1578,1788,1718,1691,1731,1714,1706,251
696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,696,810,697,796,732,736,791,739,778,760,214
995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,995,1038,675,1388,1035,1027,1002,1046,1028,1029,301
2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,2162,2441,2070,2581,2066,2449,2103,2446,2592,2352,560
20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,247
20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,20,20,20,19,20,20,19,20,20,20,247
2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,2104,2104,2065,2116,2127,2078,2077,2171,2066,2146,462
2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,2433,2550,2292,2828,1691,3359,2378,2285,2657,2808,61
476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,192,,,,,,,,,,,,
996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,996,978,941,1052,1003,991,1004,997,995,996,16
1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,1339,937,1270,1565,2134,1452,1241,1439,1640,1479,584
3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,3216,3286,3324,3677,3348,3334,3358,3446,3402,3377,395
3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,3567,3614,3587,3595,3274,3701,3447,2760,4772,3591,547
2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,2223,2717,2451,2483,2393,2503,2695,2555,2515,2513,605
1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,1666,2257,2996,2311,2280,2353,2191,2429,2327,2315,149
1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,1344,1335,1342,1255,1405,1392,1231,1449,1359,1364,238
730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,730,980,805,780,941,894,854,796,918,858,58
2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,2021,2019,1739,2287,2073,2004,2053,1864,2191,2030,33
1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,1487,1520,1397,1552,1565,1374,1497,1423,1719,1509,182
