band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,1119,1195,1338,1213,1110,1239,1103,1400,1237,1140,1296,391
53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,53,52,64,55,58,54,61,53,60,57,57,637
2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,2896,2926,3057,2925,3004,2962,2961,2832,3029,3028,2962,472
1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,1646,1074,1879,1628,1938,1756,1641,1809,1670,1626,1718,432
371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,371,405,443,401,409,405,401,413,408,405,408,198
1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,1060,1053,1050,1026,1092,911,1227,983,1132,1061,1066,624
973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,973,948,941,981,1139,977,995,978,1053,1053,1013,267
1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,1235,1218,1053,1417,1260,1152,1322,1032,1444,1233,1250,493
3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,3558,3453,3982,3562,3566,3224,4581,2645,4657,3789,3756,344
1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,1532,1566,1360,1465,1790,1580,1549,1543,1554,1549,1549,251
678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,678,659,643,743,674,646,685,737,674,711,685,214
915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,915,640,1153,690,1237,834,1024,954,929,923,964,301
2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,2101,2030,2009,2289,2056,1697,2180,2233,2291,2024,2352,560
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,247
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,247
1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,1894,1930,1915,1917,1903,1924,1906,1900,1928,1913,1924,462
2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,2234,2287,2368,1661,2746,2466,2186,2434,2221,2375,2303,61
476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,476,520,793,1120,1073,1053,883,650,1002,192,,,,,,,,,,,,,,,,,,,,,,,,
900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,900,909,906,903,886,921,904,909,905,904,906,16
899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,899,1377,1270,1565,1166,1510,963,1188,1921,1235,1402,584
2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,2830,3309,3065,2975,3157,2950,3164,3108,3070,3048,3092,395
3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,3234,3285,2563,3620,2170,4267,2660,3959,3613,3035,3502,547
2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,2223,2252,2299,2326,2276,2144,2256,2431,2256,2285,2300,605
1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,1666,2257,1716,1877,2225,2196,2212,1905,2839,1935,2297,149
1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,1217,1233,1176,1244,1182,1276,1130,1314,1138,1336,1230,238
