band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,950,716,1183,896,1034,955,907,984,692,1215,988,909,986,975,391
41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,41,39,54,35,53,38,44,52,45,42,47,44,45,45,637
2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,2234,2240,2371,2093,2699,1573,2919,1985,2769,2353,2349,2281,2385,2331,472
1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,1258,1292,1387,662,1628,1585,1341,1263,1371,1258,1396,1314,1316,1314,432
318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,318,320,315,286,339,337,317,321,309,325,322,321,319,320,198
802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,802,814,881,718,928,845,735,923,847,698,927,876,828,839,624
750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,750,762,847,657,827,888,685,749,789,804,909,766,776,842,267
971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,971,850,1086,978,955,754,1212,967,972,944,1005,752,1194,976,493
2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,2733,2906,2819,2535,3562,2875,2954,2840,2929,2418,3227,3143,2626,3206,344
1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,1195,1220,1174,1230,1104,1377,1177,1238,1211,1217,1243,1210,1224,1217,251
484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,484,537,498,461,708,510,533,433,564,620,522,585,541,539,214
734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,734,647,652,675,690,698,1035,609,753,793,775,674,784,744,301
1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,1650,1530,1680,1742,1426,1688,1604,1409,1633,2233,1240,1965,1634,1828,560
15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,247
15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,247
1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,1477,1515,1520,1466,1528,1416,1594,1507,1484,1501,1534,1453,1493,1566,462
1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,1795,1807,1783,1529,1636,1602,1642,2637,1517,1583,2285,1531,1821,2113,61
476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,476,520,793,1120,1073,1053,883,1060,592,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,706,716,691,727,706,720,704,701,717,721,709,713,711,711,16
