band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,867,799,1006,899,887,898,748,1012,888,922,878,877,748,1067,894,391
41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,41,39,44,35,42,45,39,47,37,43,44,42,42,42,42,637
2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,2140,2169,2125,2230,2172,2078,2249,2057,1624,2870,2179,2002,1971,2541,2175,472
1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,1130,1322,950,1197,1525,1225,816,1371,1392,1318,1163,1297,1226,1202,1251,432
256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,256,340,298,280,304,301,285,319,296,296,295,305,294,302,298,198
699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,699,806,766,718,826,761,781,835,750,681,889,778,796,794,781,624
671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,671,789,657,745,778,563,779,726,810,640,774,868,714,695,842,267
905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,905,885,930,786,1019,887,942,593,1221,906,871,844,1009,910,908,493
2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,2697,2737,2014,3417,2294,2478,2484,3224,2081,3366,1779,3227,3402,2367,3206,344
1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,1130,825,1293,1210,1218,1013,1024,1324,1158,1143,1155,1124,1147,1137,1136,251
484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,484,454,568,474,470,549,458,436,574,533,465,532,526,505,507,214
685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,685,668,680,675,690,698,539,834,689,666,623,759,653,712,692,301
1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,1099,1841,1663,1537,1528,1586,1577,1351,1587,1499,1327,1723,1837,1488,1619,560
12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,247
12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,12,14,14,13,13,13,13,14,13,13,13,13,13,13,14,247
1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,1308,1500,1400,1404,1330,1447,1349,1467,1389,1419,1417,1412,1392,1415,1405,462
