band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,1008,1051,1025,1034,887,1099,1012,1123,795,1266,1028,1032,1030,391
48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,48,46,46,43,41,61,51,33,63,47,49,48,48,637
2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,2504,2472,2312,2553,2660,2498,2526,2458,2099,2947,2515,2531,2507,472
1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,1386,1334,1520,1394,1223,1308,1733,1330,1500,1408,1418,1359,1472,432
318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,318,326,386,341,321,365,332,335,370,342,344,344,345,198
871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,871,923,887,860,914,902,835,750,1087,835,980,914,903,624
833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,833,797,883,713,977,779,726,1010,794,748,961,949,881,267
1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,1045,1047,815,1282,734,1334,1075,1047,996,1096,975,1037,1133,493
3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,3102,2924,2890,3620,3101,2484,3224,2081,3366,4568,3101,3106,3206,344
1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,1195,1419,1085,1434,1393,1187,1386,1364,1332,1298,1321,1309,1314,251
579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,579,580,580,577,569,572,586,578,491,680,582,580,581,214
750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,750,805,478,675,1202,725,834,846,707,860,744,832,805,301
1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,1753,1621,1871,1772,1412,2056,1697,1587,2103,1963,1461,2138,1828,560
15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,247
15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,15,16,15,14,16,15,16,15,15,15,15,15,16,247
1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,1620,1617,1601,1631,1598,1644,1624,1596,1611,1613,1575,1703,1621,462
1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,1795,1833,2147,1500,2315,2078,1876,1609,2342,1936,1916,1821,2113,61
476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,476,520,793,1120,1073,1053,788,95,1060,592,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,706,756,828,772,737,792,759,766,774,766,765,765,767,16
899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,899,1326,809,512,1565,1166,1510,963,1188,903,1340,1081,1234,584
