band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,1666,1682,1657,1636,1676,1487,1912,1674,391
72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,72,76,76,80,86,76,79,79,637
4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,4073,4056,4037,3963,4168,4113,3963,4209,472
2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,2265,2329,2263,2296,2075,2540,2318,2299,432
558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,558,543,547,584,561,554,562,560,198
1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,1456,1452,1465,1350,1512,1478,1488,1460,624
1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,1263,1433,1381,1339,1302,1542,1254,1537,267
1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,1702,1696,1525,1883,1642,1747,1719,1702,493
5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,5023,5156,5055,5150,4905,5244,5139,5101,344
1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,1955,2189,2070,2263,2114,2186,2128,2132,251
938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,938,887,954,952,977,858,1013,956,214
1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,1042,1417,939,1733,1220,1254,1347,1311,301
2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,2844,2783,2802,2891,3042,2748,3045,3107,560
25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,247
25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,25,25,24,25,23,26,25,25,247
2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,2613,2649,2613,2641,2642,2619,2635,2642,462
3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,3139,3002,2409,3244,3359,3602,3276,3250,61
476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,476,1313,1032,88,1073,1053,1533,1002,192
1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,1237,1247,1241,1245,1247,1246,1245,1245,16
1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,1577,1969,1565,2134,1505,2091,1831,1824,584
4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,4217,3833,4445,4356,3922,4528,4246,4221,395
4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,4468,4508,4476,4185,4162,5132,4282,4695,547
3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,3089,3151,3139,2888,3259,3258,3122,3142,605
2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,2618,3021,1877,3994,2639,3182,2662,3132,149
1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,1674,1681,1698,1628,1738,1532,1832,1693,238
1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,1034,1048,1127,1027,1070,1007,1150,1093,58
2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,2454,2616,2528,2541,2155,2613,2838,2536,33
1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,1853,1815,1826,2027,1806,1883,1949,1884,182
5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,5046,6681,5463,5222,4999,7800,6210,5923,477
64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,64,69,65,66,67,65,68,67,603
1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,1234,1130,1342,1240,1229,1256,1223,1254,76
1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,1410,1412,1409,1377,1407,1236,1556,1482,224
7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,7602,8103,5663,7441,10502,6742,8667,8235,551
563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,563,495,617,512,705,565,590,581,323
1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,1143,1470,1428,1441,1481,1412,1402,1398,9
1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,1837,1729,2213,1798,1997,1905,1872,2062,207
2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,2632,4053,2896,4010,2545,4487,3524,3489,436
