band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,2168,2290,2183,2285,2232,2232,391
104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,104,97,103,108,108,104,637
5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,5071,5765,5293,5585,5417,5451,472
2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,2720,3404,3029,3093,3066,3073,432
740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,740,738,754,743,742,752,198
1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,1928,1887,1908,1900,2094,1944,624
1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,1783,1857,1776,1742,2040,1853,267
2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,2213,2312,2281,2268,2214,2328,493
6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,6762,6397,7225,6408,6436,7545,344
2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,2744,2932,2801,2861,2859,2840,251
1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,1242,1208,1281,1269,1243,1292,214
1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,1555,1843,1733,1693,1684,1755,301
3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,3858,3810,3652,3948,4028,3966,560
33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,247
33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,33,33,33,33,32,34,247
3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,3508,3434,3574,3497,3531,3510,462
4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,4156,3992,3646,5051,3983,4453,61
996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,996,793,1120,2126,883,1652,192
1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,1659,1652,1659,1664,1660,1659,16
2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,2276,2355,2614,2223,2395,2633,584
4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,4745,6511,5595,5388,5892,5637,395
5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,5686,6245,5706,4162,8062,6047,547
4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,4003,4299,3965,4413,4188,4180,605
3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,3853,3663,3994,3904,3677,4034,149
2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,2242,2166,2273,2298,2209,2288,238
1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,1411,1293,1532,1449,1390,1481,58
3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,3285,3436,3418,3382,3374,3386,33
2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,2499,2334,2688,2425,2589,2508,182
7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,7887,7279,7246,9113,7926,7893,477
89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,89,87,88,90,88,89,603
1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,1234,1871,1841,1485,1823,1654,76
1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,1865,1624,2119,1870,1877,1934,224
10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,10386,10500,7923,11162,12465,10519,551
768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,768,703,716,817,836,788,323
1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,1761,1919,1802,1959,1860,1874,9
2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,2539,2488,2550,2675,2555,2606,207
4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,4376,4395,4820,4575,4851,4619,436
5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,5132,5097,5176,5139,5137,5137,23
2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,2850,2897,2856,2800,2713,3143,132
4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,4645,4753,4475,4853,4133,5339,393
218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,218,231,220,239,225,230,615
2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,2152,2141,2153,2180,2151,2163,221
8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,8035,7916,8038,7727,7448,9177,544
1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,1367,1474,1370,1380,1399,1536,295
6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,6033,6016,5393,6679,6048,6038,250
2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,2854,2837,2787,2935,2825,2886,234
2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,2268,2261,2086,2398,2385,2306,338
54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,54,77,12,92,93,70,342
1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,1317,1397,1292,1414,1394,1363,213
1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,1668,1712,1579,1747,1741,1691,600
5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,5755,5727,5862,6076,5908,5866,565
12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,12036,12212,12752,9086,15451,12464,549
1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,1507,1512,1477,1527,1546,1515,254
3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,3714,3723,3731,3572,3754,3842,451
