band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,1666,2079,1989,1891,1907,1897,1961,391
80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,80,89,91,96,87,91,90,637
4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,4474,4464,4272,4904,5122,4630,4716,472
2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,2550,2049,3213,2604,2629,2710,2630,432
638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,638,601,676,638,634,643,639,198
1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,1616,1599,1773,1658,1545,1803,1667,624
1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,1512,1504,1715,1434,1593,1675,1618,267
1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,1821,2064,1709,2179,1916,1757,2170,493
5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,5639,5354,6437,5794,5347,6370,5832,344
2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,2415,2404,2481,2415,2428,2453,2441,251
1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,1021,959,1218,966,1184,1107,1080,214
1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,1381,1327,1388,1644,1546,1449,1528,301
3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,3180,3422,3114,3013,3866,3205,3462,560
29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,247
29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,29,28,28,28,28,28,29,247
2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,2992,2986,2944,3101,2985,2987,3059,462
3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,3602,3312,3238,4279,3100,3816,3934,61
996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,996,793,1120,1073,1053,883,1652,192
1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,1422,1418,1426,1405,1438,1422,1422,16
1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,1577,1969,2667,1574,2151,2427,2131,584
4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,4745,4856,4867,4824,4822,4823,4831,395
4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,4468,5768,4636,5398,5325,5178,5135,547
3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,3553,3590,3578,3591,3456,3686,3594,605
2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,2618,3021,4102,3467,2846,3763,3308,149
1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,1921,1929,1904,1914,1842,1934,2032,238
1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,1222,1099,1290,1177,1196,1289,1283,58
2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,2454,3325,2484,3318,2892,2907,2901,33
2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,2149,1935,2103,2407,2135,2105,2209,182
6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,6699,5764,7820,6749,4885,8662,6765,477
76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,76,76,76,73,72,82,76,603
1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,1234,1130,1618,1655,1377,1478,1416,76
1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,1558,1412,1442,1781,1285,2198,1613,224
7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,7602,8485,10769,7064,11026,9014,8995,551
623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,623,616,672,666,704,673,674,323
1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,1462,1580,1701,1623,1607,1582,1620,9
2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,2176,2117,2161,2232,2202,2320,2205,207
2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,2632,4053,2896,5973,3422,4711,3949,436
4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,4375,4429,4404,4402,4402,4398,4408,23
2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,2245,2665,2480,2450,2475,2478,2466,132
3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,3794,4263,4024,3337,4716,3650,4414,393
192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,192,189,197,198,197,193,197,615
1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,1795,1900,1743,1893,1903,1856,1850,221
6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,6752,6974,6949,6877,6843,7002,6944,544
1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,1218,1210,1223,1155,1105,1384,1231,295
